행정구역별,배추: 농가_소계 (가구),노지 (가구),시설 (가구),재배면적_소계 (ha),노지 (ha),시설 (ha),무: 농가_소계 (가구),노지 (가구),시설 (가구),재배면적_소계 (ha),노지 (ha),시설 (ha),고추: 농가_소계 (가구),노지 (가구),시설 (가구),재배면적_소계 (ha),노지 (ha),시설 (ha),시금치: 농가_소계 (가구),노지 (가구),시설 (가구),재배면적_소계 (ha),노지 (ha),시설 (ha),상추: 농가_소계 (가구),노지 (가구),시설 (가구),재배면적_소계 (ha),노지 (ha),시설 (ha),호박: 농가_소계 (가구),노지 (가구),시설 (가구),재배면적_소계 (ha),노지 (ha),시설 (ha),오이: 농가_소계 (가구),노지 (가구),시설 (가구),재배면적_소계 (ha),노지 (ha),시설 (ha),수박: 농가_소계 (가구),노지 (가구),시설 (가구),재배면적_소계 (ha),노지 (ha),시설 (ha)
전국,142916,138394,6628,23668,22236,1432,83017,80534,3439,12545,11795,750,280094,261889,27984,34822,31057,3766,23482,19480,4574,4098,2521,1576,24664,18290,7308,2628,747,1881,20640,16897,4198,3930,2536,1395,15601,10366,5853,2673,819,1854,9608,3024,6934,6934,1705,5230
동부,46616,44897,2499,3868,3453,415,32594,31647,1377,2004,1824,180,57413,54202,4895,4438,3845,593,7531,5787,2002,711,196,515,12991,10562,2907,712,228,484,8167,7179,1116,547,267,280,6862,5424,1643,431,107,325,1076,736,375,238,80,158
읍부,25199,24340,1170,3136,2743,393,15415,14964,594,4677,4496,181,47619,44431,4838,5708,5107,601,4060,3159,1026,918,377,541,4060,2896,1314,532,105,427,3392,2714,742,713,428,285,2734,1684,1123,500,138,362,1898,501,1456,1346,214,1132
면부,71101,69157,2959,16665,16041,624,35008,33923,1468,5863,5475,388,175062,163256,18251,24676,22105,2572,11891,10534,1546,2469,1949,520,7613,4832,3087,1384,414,970,9081,7004,2340,2670,1841,830,6005,3258,3087,1742,574,1167,6634,1787,5103,5351,1411,3940
서울특별시,1044,979,93,74,61,13,782,740,61,34,29,5,1245,1141,160,93,83,10,220,146,86,31,10,21,487,356,149,33,11,21,306,271,43,19,10,9,263,202,68,12,4,8,37,27,11,1,-,1
부산광역시,3410,3314,124,238,214,24,2467,2419,67,88,79,9,3061,2979,120,154,142,12,789,714,89,41,22,19,1395,1232,201,74,34,40,671,632,45,26,17,9,513,482,38,8,5,4,44,40,6,1,1,1
대구광역시,4405,4163,302,332,209,122,2642,2577,83,98,88,10,4702,4567,196,293,274,19,515,347,189,77,16,61,1117,927,224,69,24,46,506,473,41,23,14,8,442,356,97,36,7,29,124,32,98,132,8,124
인천광역시,2490,2383,174,120,110,10,1884,1813,122,66,60,6,5007,4511,1027,473,410,62,287,186,120,19,6,14,523,374,188,24,9,15,389,344,65,21,17,4,443,275,187,22,6,16,68,34,37,9,2,7
광주광역시,2372,2186,213,196,142,54,1482,1392,105,148,121,28,3121,2571,616,429,206,223,299,218,88,24,9,15,517,426,101,17,6,11,343,237,107,45,12,33,182,105,80,19,2,17,92,57,42,38,24,15
대전광역시,2520,2472,76,120,115,5,1719,1688,49,51,48,3,3155,3058,182,223,206,17,168,140,33,5,3,2,485,356,145,29,11,17,340,323,24,18,14,4,286,176,122,52,10,43,35,23,12,5,1,5
울산광역시,4058,3985,115,138,133,5,3186,3126,78,72,69,3,4057,3977,124,173,166,6,710,669,50,17,13,5,1568,1511,80,19,16,3,846,824,23,16,14,2,673,644,38,6,5,1,53,49,4,1,1,-
세종특별자치시,920,884,51,47,44,3,631,608,29,17,16,1,1853,1752,144,158,148,10,91,53,39,4,1,3,184,105,84,6,1,5,130,112,21,12,8,3,130,66,66,35,2,34,61,12,50,33,2,30
경기도,25272,24175,1646,1848,1301,547,18736,18117,929,1140,914,226,38040,34505,5660,3266,2887,379,3365,2102,1423,877,67,810,6309,4668,1977,732,94,638,4613,3987,749,445,249,196,4907,3705,1414,454,142,312,654,452,229,104,25,78
강원도,12778,12448,608,5580,5518,61,6972,6816,251,2109,2083,26,26310,22999,5640,4111,3607,504,523,254,307,35,14,21,1262,850,474,294,255,38,1957,1741,326,646,589,57,1735,999,911,603,355,249,455,98,375,228,51,177
충청북도,7215,7017,335,1803,1762,41,2853,2740,142,269,248,21,18099,17493,1095,2544,2439,104,470,204,281,119,15,104,868,529,373,167,28,139,949,667,301,268,114,154,816,554,314,245,115,130,1080,216,902,1152,210,942
충청남도,14790,14144,830,1514,1316,199,8950,8645,371,943,896,47,35471,33060,3836,4104,3684,419,992,567,444,164,21,143,1777,873,970,362,49,312,1308,942,393,286,130,156,1282,565,752,493,49,444,2125,149,2010,1622,50,1571
전라북도,11275,10947,519,1399,1335,65,4990,4798,286,1152,1042,110,29741,28858,1523,4280,4066,215,818,593,261,60,29,30,1941,1015,1044,381,60,321,957,808,170,161,94,67,650,455,207,97,33,65,1348,541,891,1273,565,708
