행정구역별,양배추:농가 (가구),면적 (ha),가지:농가 (가구),면적 (ha),당근:농가 (가구),면적 (ha)
전국,6607,4311,8875,289,4060,1607
동부,1580,467,5052,76,1572,188
읍부,1908,1503,1345,47,1390,1014
면부,3119,2342,2478,167,1098,406
서울특별시,30,6,193,4,42,6
부산광역시,115,12,449,6,176,29
대구광역시,49,17,381,6,77,7
인천광역시,58,6,190,2,65,2
광주광역시,35,3,126,4,48,1
대전광역시,26,1,184,3,39,0
울산광역시,124,4,548,4,136,2
세종특별자치시,11,2,83,1,18,2
경기도,517,38,3020,89,685,20
강원도,870,878,579,60,256,250
충청북도,207,93,335,9,86,7
충청남도,598,254,433,20,158,10
전라북도,215,39,383,12,234,11
전라남도,1265,1034,481,7,355,22
경상북도,288,128,592,48,275,90
경상남도,245,44,872,13,372,87
제주특별자치도,1954,1754,26,1,1038,1063
