날짜,경기,강원,충북,충남,전북,전남,경북,경남
Nov-14,81.093,86.874,90.531,91.573,86.522,83.105,85.741,87.089
Dec-14,81.04,86.976,90.645,91.723,86.675,83.284,85.891,87.229
Jan-15,81.091,87.041,90.673,91.754,86.747,83.422,86.039,87.286
Feb-15,81.12,87.089,90.772,91.814,86.893,83.532,86.208,87.32
Mar-15,81.184,87.278,90.92,91.921,87.051,83.695,86.392,87.503
Apr-15,81.216,87.42,91.064,91.966,87.151,83.843,86.621,87.636
May-15,81.263,87.514,91.124,92.016,87.218,83.975,86.75,87.717
Jun-15,81.344,87.632,91.211,92.141,87.39,84.178,86.9,87.846
Jul-15,81.419,87.77,91.286,92.191,87.533,84.391,87.069,87.995
Aug-15,81.433,87.868,91.369,92.245,87.63,84.557,87.187,88.153
Sep-15,81.511,87.98,91.427,92.292,87.772,84.704,87.369,88.257
Oct-15,81.566,88.13,91.566,92.438,87.916,84.938,87.556,88.412
Nov-15,81.719,88.394,91.748,92.565,88.075,85.119,87.737,88.538
Dec-15,81.868,88.579,91.86,92.741,88.279,85.327,87.985,88.738
Jan-16,81.935,88.722,91.964,92.818,88.433,85.474,88.171,88.873
Feb-16,81.994,88.881,92.005,92.941,88.561,85.633,88.341,88.972
Mar-16,82.125,89.075,92.077,93.131,88.735,85.813,88.571,89.155
Apr-16,82.27,89.181,92.178,93.249,88.854,85.98,88.781,89.315
May-16,82.362,89.228,92.334,93.354,88.937,86.102,88.952,89.486
Jun-16,82.538,89.366,92.388,93.429,89.031,86.23,89.09,89.642
Jul-16,82.748,89.479,92.489,93.527,89.156,86.396,89.25,89.793
Aug-16,82.934,89.629,92.63,93.638,89.296,86.58,89.435,89.941
Sep-16,83.108,89.735,92.738,93.714,89.407,86.72,89.571,90.105
Oct-16,83.295,89.892,92.846,93.843,89.556,86.881,89.751,90.238
Nov-16,83.441,90.076,92.943,93.946,89.749,87.08,89.949,90.403
Dec-16,83.577,90.238,93.007,94.068,89.954,87.322,90.172,90.6
Jan-17,83.701,90.308,93.03,94.169,90.081,87.519,90.391,90.771
Feb-17,83.873,90.463,93.026,94.246,90.272,87.734,90.661,90.986
Mar-17,84.105,90.802,93.056,94.424,90.603,88.057,90.929,91.24
Apr-17,84.341,91.005,93.255,94.589,90.838,88.346,91.159,91.528
May-17,84.626,91.209,93.353,94.708,91.082,88.595,91.391,91.819
Jun-17,84.891,91.453,93.521,94.848,91.322,88.892,91.609,92.085
Jul-17,85.114,91.641,93.676,94.988,91.553,89.195,91.867,92.362
Aug-17,85.4,91.811,93.851,95.203,91.79,89.512,92.11,92.6
Sep-17,85.626,92.029,94.082,95.342,92.035,89.806,92.337,92.844
Oct-17,85.843,92.246,94.288,95.447,92.268,90.021,92.529,93.048
Nov-17,86.036,92.502,94.584,95.685,92.559,90.332,92.784,93.293
Dec-17,86.205,92.683,94.848,95.846,92.836,90.575,93.074,93.558
Jan-18,86.429,92.916,94.907,96.022,93.089,90.835,93.371,93.864
Feb-18,86.65,93.15,95.037,96.188,93.31,91.065,93.611,94.119
Mar-18,86.901,93.371,95.223,96.342,93.563,91.394,93.846,94.443
Apr-18,88.363,93.668,95.478,96.566,93.791,91.691,94.119,94.726
May-18,89.518,93.966,95.614,96.673,93.994,91.922,94.327,95.014
Jun-18,90.826,94.401,95.798,96.778,94.203,92.178,94.523,95.393
Jul-18,91.854,94.745,95.904,96.888,94.393,92.43,94.723,95.748
Aug-18,92.506,95.081,96.063,97.012,94.619,92.693,94.933,96.093
Sep-18,92.915,95.404,96.194,97.151,94.824,92.967,95.16,96.333
Oct-18,93.557,95.689,96.32,97.342,95.099,93.292,95.422,96.599
Nov-18,93.868,96.005,96.493,97.476,95.437,93.636,95.666,96.871
Dec-18,94.183,96.253,96.646,97.562,95.719,93.998,95.89,97.137
Jan-19,94.494,96.537,96.817,97.7,96.001,94.368,96.11,97.331
Feb-19,94.807,96.795,97.013,97.793,96.261,94.683,96.327,97.533
Mar-19,95.147,97.035,97.301,97.956,96.534,95.063,96.584,97.802
Apr-19,95.507,97.27,97.561,98.095,96.796,95.401,96.849,98.061
May-19,95.855,97.475,97.776,98.253,97.049,95.713,97.057,98.259
Jun-19,96.147,97.706,97.928,98.399,97.249,95.986,97.255,98.428
Jul-19,96.463,97.905,98.1,98.51,97.461,96.31,97.478,98.548
Aug-19,96.737,98.084,98.244,98.586,97.661,96.577,97.658,98.648
Sep-19,97.031,98.279,98.371,98.653,97.857,96.885,97.876,98.729
Oct-19,97.355,98.484,98.522,98.731,98.042,97.206,98.152,98.851
Nov-19,97.615,98.703,98.68,98.841,98.215,97.527,98.398,98.986
Dec-19,97.898,98.882,98.807,99.019,98.408,97.823,98.7,99.128
Jan-20,98.154,99.058,98.938,99.12,98.607,98.15,98.946,99.244
Feb-20,98.489,99.238,99.103,99.239,98.817,98.51,99.131,99.375
Mar-20,98.783,99.386,99.267,99.339,99.029,98.793,99.255,99.506
Apr-20,99.021,99.458,99.393,99.417,99.235,99.037,99.382,99.601
May-20,99.248,99.569,99.562,99.479,99.412,99.275,99.513,99.705
Jun-20,99.519,99.693,99.687,99.634,99.607,99.532,99.658,99.808
Jul-20,99.758,99.858,99.839,99.811,99.799,99.768,99.808,99.914
Aug-20,100,100,100,100,100,100,100,100
Sep-20,100.25,100.15,100.195,100.172,100.182,100.239,100.185,100.085
Oct-20,100.536,100.341,100.482,100.37,100.379,100.511,100.417,100.154
Nov-20,100.847,100.52,100.735,100.607,100.606,100.787,100.686,100.291
Dec-20,101.195,100.774,101.065,100.883,100.83,101.125,100.956,100.505
Jan-21,101.484,100.952,101.329,101.124,101.042,101.454,101.222,100.681
Feb-21,101.766,101.167,101.593,101.387,101.279,101.762,101.482,100.847
Mar-21,102.085,101.406,101.928,101.664,101.53,102.098,101.821,101.076
Apr-21,102.388,101.642,102.284,101.91,101.755,102.439,102.142,101.322
May-21,102.656,101.877,102.529,102.137,101.959,102.756,102.429,101.539
Jun-21,102.968,102.079,102.818,102.369,102.151,103.062,102.702,101.716
